,tegs,headline,date
277,студенты интересное ,Вторая игра Студенческой лиги по «Что? Где? Когда?» пройдёт в ЗабГУ,27ОКТ 2022
278,сотрудничество анонс ,Очный этап «Забпризыва» на должность председателя регионального отделения...,26ОКТ 2022
279,студенты важное ,В ЗабГУ открыли Школу волонтёра для студентов Читы,26ОКТ 2022
280,интересное акция ,«Народов много – страна одна!»: в ЗабГУ напишут Большой этнографический диктант,26ОКТ 2022
281,студенты наука интересное ,Молодые исследователи ЗабГУ сойдутся в научном поединке,26ОКТ 2022
282,наука анонс ,Российские и зарубежные учёные обсудят новые подходы к научному сотрудничеству на...,25ОКТ 2022
283,студенты важное ,Семинар о профилактике терроризма прошёл в ЗабГУ,25ОКТ 2022
284,студенты профсоюз интересное ,Профсоюз студентов ЗабГУ: «Мы продолжаем писать историю школы “ПРОФstart”»,25ОКТ 2022
285,наука конференции ,Сохранение исторической правды – важный аспект воспитания молодёжи,25ОКТ 2022
286,поздравляем ,С Днём таможенника РФ! ,25ОКТ 2022
287,студенты интересное ФестивальНауки ,Студенты ЗабГУ представили модели университетов будущего ,24ОКТ 2022
288,образование сотрудничество интересное ,Забайкальские школьники на площадке ЗабГУ могут попробовать свои силы в...,24ОКТ 2022
289,сотрудничество анонс ,300-летие горного образования: выходим на Дальний Восток!,24ОКТ 2022
290,студенты важное РЦИО ,ЗабГУ оказывает поддержку студентам с нарушениями здоровья и создаёт условия для их...,24ОКТ 2022
291,важное ,Школа – вуз – работодатель: в ЗабГУ обсудили способы привлечения абитуриентов,21ОКТ 2022
292,студенты наука конференции ,В ЗабГУ прошла конференция студентов-строителей по результатам практики,21ОКТ 2022
293,студенты творчество ,Стали известны победители творческого фестиваля «Премьера ЗабГУ-2022»,21ОКТ 2022
294,студенты образование ,ЗабГУ приглашает пройти бесплатную профессиональную подготовку,20ОКТ 2022
295,анонс ФестивальНауки ,Фестиваль НАУКА 0 + в Забайкальском крае,20ОКТ 2022
296,студенты наука ,В России стартовал отборочный этап ежегодного инженерного конкурса,19ОКТ 2022
297,студенты ФестивальНауки ,В ЗабГУ прошёл мастер-класс по организации деятельности вожатых,19ОКТ 2022
298,сотрудничество интересное ,Руководитель ЗабГУ и губернатор Забайкальского края обсудили празднование 300-летия...,19ОКТ 2022
299,наука конференции анонс ,Российские и зарубежные учёные обсудят проблемы отечественной военной истории на...,19ОКТ 2022
300,поздравляем ,С Всероссийским днём лицеиста!,19ОКТ 2022
301,наука сотрудничество конференции ,Преподаватели ЗабГУ стали соорганизаторами конференции по педагогике,18ОКТ 2022
302,студенты образование ,Студенты-отличники ЗабГУ получили право учиться бесплатно,18ОКТ 2022
303,студенты РЦИО ,Студенты ЗабГУ с ОВЗ познакомятся с новым руководителем вуза,18ОКТ 2022
304,поздравляем ,70-летие празднует Валерий Филиппов,18ОКТ 2022
305,образование интересное ,Сергей Иванов пополнил библиотеку кафедры энергетики изданиями из личной коллекции,17ОКТ 2022
306,студенты спорт анонс ,Первокурсники ЗабГУ сразятся в турнире по настольным спортивным играм,14ОКТ 2022
307,студенты наука конкурс ,Фестиваль RuCode 6.0 набирает обороты,14ОКТ 2022
308,студенты поздравляем интересное ,Представитель ЗабГУ помог студентам российских вузов выиграть конкурс дебатов,14ОКТ 2022
309,наука важное ,Минобрнауки РФ объявило о начале приёма документов на получение жилищных сертификатов,14ОКТ 2022
310,конкурс профсоюз интересное ,V Турнир преподавателей и сотрудников по «Что? Где? Когда?» состоялся в ЗабГУ,14ОКТ 2022
311,важное ,Инструкция по оплате общежития,13ОКТ 2022
312,студенты поздравляем ,Молодой учёный ЗабГУ стал призёром конкурса Российского общества «Знание»,13ОКТ 2022
313,спорт ,ЗабГУ спортивный,13ОКТ 2022
314,творчество конкурс интересное ,Представители ЗабГУ – призёры арт-проекта «Мост через реальность»,13ОКТ 2022
315,студенты конкурс интересное ,Горизонт 2100: придумай свою реальность будущего,13ОКТ 2022
316,наука конференции ,Представители ЗабГУ приняли участие в работе конференции об истории и современности...,13ОКТ 2022
317,поздравляем ,70 лет исполняется почётному работнику высшего профессионального образования...,13ОКТ 2022
318,интересное династииЗабГУ ,ЗабГУ продолжает рассказывать о преподавательских династиях ,12ОКТ 2022
319,наука конференции ,Идеи по консолидации науки и предприятий регионов обсудили на форуме молодых учёных...,12ОКТ 2022
320,поздравляем ,С Днём кадрового работника!,12ОКТ 2022
321,поздравляем ,Юбилей отмечает профессор кафедры педагогики ЗабГУ Екатерина Игумнова,12ОКТ 2022
322,наука конференции ,Учёные ЗабГУ приняли участие в Плаксинских чтениях-2022,11ОКТ 2022
323,важное ,Необходимо соблюдать меры профилактики по распространению COVID-19!,11ОКТ 2022
324,анонс акция ,Читинцы и гости города напишут «Географический диктант» на площадке ЗабГУ,10ОКТ 2022
325,студенты олимпиада объявление ,Открыта регистрация на VI сезон Всероссийской олимпиады «Я – профессионал»,10ОКТ 2022
326,студенты наука ,Молодые учёные ЗабГУ примут участие в форуме «Восток. Наука II»,7ОКТ 2022
327,наука конференции ,XXVI Иннокентиевские чтения провёл центр русской культуры «Кириллица» ЗабГУ,7ОКТ 2022
328,важное мобилизация ,Аспирантам и ординаторам предоставят отсрочку от мобилизации,7ОКТ 2022
329,студенты интересное ,Студенты ЗабГУ встретились с легендами российского и мирового бокса,7ОКТ 2022
330,творчество конкурс интересное ,В ЗабГУ поздравили педагогов праздничным концертом «Две звезды»,6ОКТ 2022
331,акция мобилизация ,Студенты и сотрудники ЗабГУ присоединились к всероссийской акции #МыВместе,6ОКТ 2022
332,интересное династииЗабГУ ,Династии ЗабГУ,5ОКТ 2022
333,интересное РЦИО ,Представители ЗабГУ провели интеллектуальную игру для забайкальцев ,5ОКТ 2022
334,образование объявление РЦИО ,РЦИО ЗабГУ приглашает в Школу инклюзивного волонтёрства,5ОКТ 2022
335,важное мобилизация ,ЗабГУ окажет поддержку участвующим в СВО сотрудникам и студентам вуза,4ОКТ 2022
336,поздравляем интересное ,Преподаватель ЗабГУ стала участницей конкурса фотографий с флагом России,4ОКТ 2022
337,студенты РЦИО ,Студенты ЗабГУ познакомили школьников с адаптивными настольными спортивными играми,4ОКТ 2022
338,конкурс интересное ,В России стартовал конкурс лекторов онлайн-экспедиции «Моя страна – моя Россия»,4ОКТ 2022
339,спорт ,ЗабГУ спортивный,4ОКТ 2022
340,поздравляем ,Коллектив историко-филологического факультета поздравляет Виктора Мерцалова с юбилеем,3ОКТ 2022
341,конференции РЦИО ,Педагог-психолог РЦИО рассказала на международной конференции об инклюзивном...,3ОКТ 2022
342,студенты важное ,Комиссия по переводу на бюджет работает в ЗабГУ,3ОКТ 2022
343,студенты образование поздравляем ,С Днём среднего профессионального образования!,3ОКТ 2022
344,студенты интересное ,"Главное, чтобы у лидера горели глаза",3ОКТ 2022
345,студенты РЦИО ,Студенты ЗабГУ помогли организовать инклюзивный фестиваль,30СЕН 2022
346,спорт анонс РЦИО ,В ЗабГУ пройдёт турнир по настольным спортивным играм,30СЕН 2022
347,акция мобилизация ,ЗабГУ присоединяется к всероссийской акции взаимопомощи #МЫВМЕСТЕ,30СЕН 2022
348,поздравляем ,С Международным днём переводчика!,30СЕН 2022
349,студенты РЦИО ,Волонтёры отряда «Ойкос» провели мастер-класс для ветеранов,30СЕН 2022
350,студенты ОСО интересное ,О студенческих объединениях вуза узнают первокурсники ЗабГУ на «Энергии жизни»,29СЕН 2022
351,спорт ,ЗабГУ спортивный,29СЕН 2022
352,наука сотрудничество ,ЗабГУ посетил координатор молодёжной науки на Дальнем Востоке Илья Купряшкин,29СЕН 2022
353,студенты важное ,Информация для проживающих в общежитиях студентов и сотрудников ЗабГУ,28СЕН 2022
354,объявление интересное ,Студентов и преподавателей ЗабГУ приглашают на лекцию о Забайкальском фронте,28СЕН 2022
355,студенты важное ,Студенты-социологи встретились с участником боевых действий ,28СЕН 2022
356,важное мобилизация ,В России запущены горячие линии по вопросам частичной мобилизации,28СЕН 2022
357,объявление интересное ,Найди идею. Собери команду. Запусти проект,28СЕН 2022
358,студенты сотрудничество ,Студенты ЗабГУ провели виртуальную экскурсию на Титовскую сопку для детей,27СЕН 2022
359,наука сотрудничество ,В ЗабГУ договорились о координации работы по внедрению буддийского образования в...,27СЕН 2022
360,студенты анонс ,КИИ ЗабГУ открывает сезон интеллектуальных игр,26СЕН 2022
361,наука сотрудничество конференции ,Вопросы взаимодействия институтов буддизма и гражданского общества России обсуждают...,26СЕН 2022
362,студенты конференции творчество ,Маргарита Гомбоева: «Буддизм – это источник энергии для современного художника»,26СЕН 2022
363,спорт интересное ,Традиционную легкоатлетическую эстафету памяти Грабаря провёл ЗабГУ,26СЕН 2022
364,конференции РЦИО ,Об инклюзивном волонтёрстве в Забайкалье рассказали представители РЦИО ЗабГУ на...,23СЕН 2022
365,образование интересное ,Преподаватели ЗабГУ в очередной раз приняли участие в семинаре по формированию...,23СЕН 2022
366,важное ,В ЗабГУ обсудили ключевые направления трансформации вуза,23СЕН 2022
367,студенты объявление ,Открыта регистрация на фестиваль по искусственному интеллекту и программированию RuCode,22СЕН 2022
368,наука конференции ,В ЗабГУ обсудили траектории развития современного правосудия,22СЕН 2022
369,конкурс интересное ,«Лига Лекторов»: успей подать заявку и научись выступать на широкую публику!,22СЕН 2022
370,важное акция ,ЗабГУ присоединился к федеральному проекту «Без срока давности»,21СЕН 2022
371,важное РЦИО ,Центр инклюзивного волонтёрства открыли в ЗабГУ,21СЕН 2022
372,студенты поздравляем конкурс ,Представители ЗабГУ в финале чемпионата WorldSkills завоевали медали за...,21СЕН 2022
373,важное ,Сергей Иванов обратился к коллективу ЗабГУ,20СЕН 2022
374,студенты конкурс объявление ,Студенты ЗабГУ смогут побороться за главный приз кейс-чемпионата BIOTON,20СЕН 2022
375,образование объявление ,Преподавателей ЗабГУ приглашают на курсы повышения квалификации,20СЕН 2022
376,студенты поздравляем ,Студенты ЗабГУ – в числе лучших участников IT-диктанта в Забайкалье,19СЕН 2022
377,студенты интересное ,Первокурсники ЗабГУ сразились в игре «Что? Где? Когда?»,19СЕН 2022
378,анонс РЦИО ,В ЗабГУ откроется центр инклюзивного волонтёрства «Вместе»,19СЕН 2022
379,студенты спорт интересное ,Оксана Мартыненко поддержала студентов ЗабГУ в забеге «Кросс нации-2022»,19СЕН 2022
380,спорт интересное ,В ЗабГУ подвели итоги спортивного тренинга «Центурион»,19СЕН 2022
381,поздравляем ,65 лет исполняется заслуженному работнику высшего профессионального образования РФ...,16СЕН 2022
382,наука конференции ,Аспекты приграничного взаимодействия обсудили на международной конференции в ЗабГУ,16СЕН 2022
383,объявление ,В ЗабГУ открыты вакансии административно-управленческого персонала,16СЕН 2022
384,студенты ОСО ,Руководитель ЗабГУ Оксана Мартыненко провела встречу со студенческой общественностью,15СЕН 2022
