,tegs,headline,date
489,спорт РЦИО ,Национальные диаспоры Забайкалья соревновались в адаптивных спортивных играх,14ИЮН 2022
490,студенты наука интересное ,Студенческие научные объединения Забайкалья презентовали свои проекты ,14ИЮН 2022
491,студенты ОСО ,Представители ЗабГУ стали участниками форума «Забайкалье – территория дружбы»,14ИЮН 2022
492,студенты наука ,В ЗабГУ рассказали о развитии региональной молодёжной науки,10ИЮН 2022
493,важное ,Ректор ЗабГУ Сергей Иванов прокомментировал своё попадание в санкционный список Украины,10ИЮН 2022
494,образование интересное ,О науке простым языком: Преподаватель ЗабГУ запустил научный видеопроект,9ИЮН 2022
495,сотрудничество важное ,В ЗабГУ представили проект стратегии социально-экономического развития...,9ИЮН 2022
496,спорт поздравляем ,В ЗабГУ подвели итоги спартакиады муниципальных служащих,9ИЮН 2022
497,студенты объявление ,Студенты-выпускники ЗабГУ приглашаются на тренинг по самоменеджменту,9ИЮН 2022
498,ДеньПобеды НаучныйПолк ,"Дети войны: «Мы знали слово «надо» и даже не представляли, что  можно учиться кое-как»",8ИЮН 2022
499,МинобрРФ абитуриенту ,Абитуриенты ЗабГУ смогут отслеживать статус своего заявления через суперсервис...,8ИЮН 2022
500,поздравляем ,С Днём социального работника!,8ИЮН 2022
501,ДеньПобеды НаучныйПолк ,Научный полк: ЗабГУ публикует истории сотрудников – детей войны,7ИЮН 2022
502,конференции МинобрРФ ,В ЗабГУ сформирована современная информационно-образовательная среда,7ИЮН 2022
503,студенты поздравляем конкурс ,Супружеская пара из ЗабГУ признана лучшей студенческой семьей Забайкалья,7ИЮН 2022
504,сотрудничество важное ,Представители ЗабГУ с рабочим визитом посетили Монголию,6ИЮН 2022
505,наука поздравляем ,В Москве наградили победителей первого всероссийского конкурса Студенческих научных...,6ИЮН 2022
506,интересное ,Представители ЗабГУ приняли участие в экспертном семинаре о развитии волонтёрства ,3ИЮН 2022
507,сотрудничество РЦИО ,Представители РЦИО рассказали об опыте участия студентов-инвалидов ЗабГУ в...,3ИЮН 2022
508,студенты поздравляем конкурс ,Студенты ЗабГУ  – призёры городского конкурса проектирования,3ИЮН 2022
509,ДеньПобеды НаучныйПолк ,"«Народ, который чтит своих героев, может считаться великим», - Константин Рокоссовский",3ИЮН 2022
510,поздравляем ,5 июня – Всемирный день окружающей среды,3ИЮН 2022
511,интересное РЦИО ,Специалисты РЦИО организовали праздник для читинских школьников,2ИЮН 2022
512,конференции МинобрРФ ,В ЗабГУ обсудят вопросы взаимодействия институтов буддизма и гражданского общества...,2ИЮН 2022
513,сотрудничество важное ,ЗабГУ и МФТИ заключили договор о сотрудничестве в сфере экологии и рационального...,2ИЮН 2022
514,ДеньПобеды НаучныйПолк ,Моисей Рижский: От подвигов на фронте до научного изучения Библии,1ИЮН 2022
515,образование ,Представитель ЗабГУ выступил экспертом на семинаре РАНХиГС,1ИЮН 2022
516,поздравляем ,Сергей Иванов – лауреат проекта «Человек труда»,31МАЯ 2022
517,ДеньПобеды НаучныйПолк ,Научный полк: история педагога-физика Анатолия Любимского,31МАЯ 2022
518,конкурс анонс МинобрРФ ,ЗабГУ приглашает молодёжь Сибири и Дальнего Востока на конкурс эссе,31МАЯ 2022
519,спорт ,ЗабГУ спортивный,31МАЯ 2022
520,интересное ,Колонна ЗабГУ прошла в праздничном шествии трудовых коллективов на День города,30МАЯ 2022
521,студенты поздравляем ,Представители ЗабГУ получили стипендии главы города,30МАЯ 2022
522,студенты поздравляем конкурс ,Команда ЗабГУ победила в Международном инженерном чемпионате «CASE-IN»,30МАЯ 2022
523,поздравляем ,Профессор ЗабГУ Татьяна Воронченко празднует юбилей,30МАЯ 2022
524,студенты поздравляем ,Студенты ЗабГУ успешно выступили на международной конференции в Петрозаводске,27МАЯ 2022
525,профсоюз анонс ,День защиты детей отпразднуют в ЗабГУ,27МАЯ 2022
526,поздравляем творчество конкурс ,В ЗабГУ наградили победителей конкурса рисунков «Буквица славянская»,27МАЯ 2022
527,студенты поздравляем олимпиада ,Иностранные студенты проверили знания по русскому языку на олимпиаде в ЗабГУ,27МАЯ 2022
528,поздравляем ,С Всероссийским днём библиотек!,27МАЯ 2022
529,ДеньПобеды НаучныйПолк ,«Научный полк»: история о человечности и доброте во времена Великой Отечественной войны,26МАЯ 2022
530,студенты спорт поздравляем ,Сборная ЗабГУ победила на всероссийском фестивале по адаптивной физкультуре,26МАЯ 2022
531,студенты поздравляем ,Представители двух факультетов ЗабГУ – бронзовые призёры интернет-олимпиады,26МАЯ 2022
532,студенты интересное ,Молодым предпринимателям станет доступна грантовая поддержка на создание и развитие...,25МАЯ 2022
533,студенты поздравляем ,Забайкальская студентка стала победителем конкурса «Муравьёв-Амурский 2030»,25МАЯ 2022
534,поздравляем ,С Днём филолога,25МАЯ 2022
535,ДеньПобеды НаучныйПолк ,ЗабГУ продолжает акцию памяти «Научный полк»,24МАЯ 2022
536,студенты интересное РЦИО ,Студент ЗабГУ с ОВЗ совершил прыжок с парашютом,24МАЯ 2022
537,спорт ,ЗабГУ спортивный,24МАЯ 2022
538,наука конференции анонс ,ЗабГУ проведёт конференцию по вопросам охраны психического здоровья молодого поколения,23МАЯ 2022
539,наука конференции РЦИО ,В ЗабГУ прошла конференция о гендерных отношениях в современном мире,23МАЯ 2022
540,студенты объявление ,В Научной библиотеке проходит «Прощённая неделя»,23МАЯ 2022
541,наука конференции анонс ,Историю и перспективы развития меценатства обсудят на конференции в Чите,23МАЯ 2022
542,ДеньПобеды НаучныйПолк ,«Научный полк»: ЗабГУ рассказывает о героях «трудовой армии» периода ВОВ,20МАЯ 2022
543,ВоеннаяКафедра ,Минобороны проверило работу Военного учебного центра ЗабГУ,20МАЯ 2022
544,сотрудничество РЦИО ,Волонтёры «Ойкоса» научили читинцев играть в адаптивные настольные игры,20МАЯ 2022
545,студенты спорт ,"Весёлые старты, перетягивание каната и корнхол: ЗабГУ провёл День здоровья",20МАЯ 2022
546,наука сотрудничество интересное ,Музейный комплекс Дружбы народов Забайкалья открыли в Чите,19МАЯ 2022
547,студенты олимпиада ,В ЗабГУ прошла олимпиада по инженерной и компьютерной графике,19МАЯ 2022
548,ДеньПобеды НаучныйПолк ,"Победа ковалась не только на фронте: ЗабГУ публикует истории сотрудников вуза,...",18МАЯ 2022
549,сотрудничество РЦИО ,Социальные инновации в Забайкальском крае: Дни инклюзии проходят в Чите,18МАЯ 2022
550,спорт профсоюз анонс ,В ЗабГУ пройдёт «Зарница» для сотрудников,18МАЯ 2022
551,поздравляем ,С Международным днём музеев,18МАЯ 2022
552,студенты спорт анонс ,ЗабГУ проведёт традиционный «День здоровья»,17МАЯ 2022
553,конкурс интересное ,ЗабГУ победил во всероссийском конкурсе «Пресс-служба вуза»,17МАЯ 2022
554,наука конференции ,Региональная площадка МАЭФ-2022 работала в ЗабГУ,16МАЯ 2022
555,творчество конкурс объявление ,Представители ЗабГУ могут стать участниками питчинга кинопроектов,16МАЯ 2022
556,поздравляем конкурс ,Подведены итоги всероссийского конкурса молодых журналистов,16МАЯ 2022
557,студенты наука конференции ,Вопросы влияния физической культуры и спорта на здоровье человека обсудили в ЗабГУ,13МАЯ 2022
558,важное ,ОРВИ или ковид?,13МАЯ 2022
559,студенты олимпиада ,Лучших знатоков математики выявили в ЗабГУ ,13МАЯ 2022
560,ДеньПобеды НаучныйПолк ,ЗабГУ продолжает серию публикаций о фронтовиках-сотрудниках вуза,12МАЯ 2022
561,студенты интересное ,Герой России Владимир Шарпатов рассказал о своём подвиге студентам ЗабГУ,12МАЯ 2022
562,студенты наука ,Молодые исследователи предложили сделать ЗабГУ «зелёным вузом»,12МАЯ 2022
563,ДеньПобеды НаучныйПолк ,Акция «Научный полк» продолжается,11МАЯ 2022
564,студенты интересное ,«Иероглифические игры» прошли в ЗабГУ,11МАЯ 2022
565,спорт интересное ,Легенды отечественного спорта посетили ФОК ЗабГУ,11МАЯ 2022
566,творчество конкурс ,«Литературный апрель» завершился в ЗабГУ,7МАЯ 2022
567,наука РЦИО ,Специалисты РЦИО приняли участие в симпозиуме по вопросам доступности образования...,7МАЯ 2022
568,студенты олимпиада ,Межвузовская олимпиада по философии прошла в ЗабГУ,6МАЯ 2022
569,ДеньПобеды НаучныйПолк ,«Научный полк» ЗабГУ: помним и гордимся,6МАЯ 2022
570,наука конференции ,В ЗабГУ проходит конференция «Безопасность 2022»,6МАЯ 2022
571,ВоеннаяКафедра ДеньПобеды ,Военный учебный центр ЗабГУ провёл торжества в честь Дня Победы,6МАЯ 2022
572,поздравляем ,Игорь Романов отмечает полувековой юбилей,6МАЯ 2022
573,поздравляем ДеньПобеды ,Поздравление ректора ЗабГУ с Днём Победы,6МАЯ 2022
574,ДеньПобеды НаучныйПолк ,«Научный полк» ЗабГУ: вспоминаем героев ВОВ,5МАЯ 2022
575,спорт ,ЗабГУ спортивный,5МАЯ 2022
576,студенты конкурс ,Студенты ЗабГУ выступят в финале чемпионата «CASE-IN»,4МАЯ 2022
577,ДеньПобеды НаучныйПолк ,Проект «Научный полк» продолжается в ЗабГУ,4МАЯ 2022
578,сотрудничество важное ,Прошли выездные стратсессии в рамках подготовки проекта стратегии развития Забайкалья,4МАЯ 2022
579,студенты интересное ,Интеллектуальную игру по литературе для школьников и студентов провели в ЗабГУ,4МАЯ 2022
580,конференции анонс ,Вопросы безопасности обсудят на конференции в ЗабГУ,30АПР 2022
581,наука конференции РЦИО ,Представители РЦИО ЗабГУ стали участниками семинара по адаптивному спорту,30АПР 2022
582,студенты РЦИО ,Студентка ЗабГУ выиграла серебряную медаль на чемпионате «Абилимпикс»,29АПР 2022
583,творчество конкурс ,В ЗабГУ объявлен конкурс «Буквица славянская»,29АПР 2022
584,важное ,О правильном использовании масок,29АПР 2022
585,студенты наука ,В фестивале RuCode 5.0 приняли участие более 12 тысяч программистов,29АПР 2022
586,студенты РЦИО ,Состоялся выпуск 9-го набора Школы инклюзивного волонтёрства ЗабГУ,29АПР 2022
587,наука важное ,"Профессор ЗабГУ стала соавтором монографии, опубликованной в британском издательстве",29АПР 2022
588,важное объявление ,О работе ЗабГУ в первой декаде мая,28АПР 2022
589,ДеньПобеды НаучныйПолк ,ЗабГУ о преподавателях – героях военных лет,28АПР 2022
590,важное ,Урок истории провёл проректор ЗабГУ для студентов ФЕНМиТ,28АПР 2022
591,сотрудничество объявление ,Nordgold запускает новую программу стажировки для студентов,28АПР 2022
592,ДеньПобеды НаучныйПолк ,«Научный полк»: ЗабГУ продолжает публиковать материалы о преподавателях-фронтовиках,27АПР 2022
593,конкурс профсоюз ,Профком ЗабГУ приглашает к участию в конкурсе фотографий и видеороликов,27АПР 2022
594,конференции РЦИО ,Сотрудники РЦИО ЗабГУ поделились опытом включения спортивных настольных игр в...,27АПР 2022
595,важное ,ЗабГУ – Забайкальскому краю,27АПР 2022
596,спорт ,ЗабГУ спортивный,26АПР 2022
597,спорт РЦИО ,Турнир по настольным спортивным играм среди сотрудников ведомств Забайкалья прошёл...,26АПР 2022
598,наука важное ,Проведение в России Десятилетия науки и технологий откроет большие перспективы для...,26АПР 2022
599,студенты поздравляем ,Студентка ЗабГУ – победитель всероссийского конкурса каллиграфии,26АПР 2022
